src,method,threshold,score,error,
noize/tilt_noize.jpeg,NONE,NONE,0.430261,"(623,-967)",
noize/tilt_noize.jpeg,BINAR,100,0.495527,"(725,457)",
noize/tilt_noize.jpeg,BRUTEFORCEFD,100,0.982686,"(885,505)",
noize/tilt_noize.jpeg,BRUTEFORCEFD,100,0.982686,"(885,505)",
noize/tilt_noize.jpeg,NONE,NONE,0.430261,"(623,-967)",
noize/tilt_noize.jpeg,BINAR,100,0.495527,"(725,457)",
noize/tilt_noize.jpeg,BRUTEFORCEFD,100,0.982686,"(885,505)",
noize/tilt_noize.jpeg,BRUTEFORCEFD,100,0.982686,"(885,505)",
noize/tilt_noize.jpeg,NONE,NONE,0.430261,"(623,-967)",
noize/tilt_noize.jpeg,BINAR,100,0.495527,"(725,457)",
noize/tilt_noize.jpeg,BRUTEFORCEFD,100,0.982686,"(-1,-9)",
noize/tilt_noize.jpeg,BRUTEFORCEFD,100,0.982686,"(-1,-9)",
noize/tilt_noize.jpeg,NONE,NONE,0.430261,"(623,-967)",
noize/tilt_noize.jpeg,BINAR,100,0.495527,"(725,457)",
noize/tilt_noize.jpeg,BRUTEFORCEFD,100,0.976980,"(-2,-10)",
noize/tilt_noize.jpeg,BRUTEFORCEFD,100,0.976980,"(-2,-10)",
noize/tilt_noize.jpeg,NONE,NONE,0.430261,"(623,-967)",
noize/tilt_noize.jpeg,BINAR,100,0.495527,"(725,457)",
noize/tilt_noize.jpeg,BRUTEFORCEFD_FD,100,0.976980,"(-2,-10)",
noize/tilt_noize.jpeg,BRUTEFORCEFD_FD,100,0.976980,"(-2,-10)",
